mission	roll	frame	Photo Date	Photo Time GMT	Center Point Lat	Center Point Lon	Nadir Lat	Nadir Lon	Spacecraft Altitude (nautical miles)	Lens mm	geon	feat	Clouds Percentage	Look Angle	Look Direction	Sun Azimuth	Sun Elevation Angle	camera	film	Camera (uncataloged)	caption	Features from Image Detectives (not NASA)	RecordType
ISS022	E	  66972	20100217	080115	14.7	26.8	14.3	26.9	188	12	SUDAN	CUPOLA VIEW, MEIDOB VOLCANIC FIELD	0	 7	N	124	45	Nikon D2Xs Electronic Still Camera	4288E: 4288 x 2848 pixel CMOS sensor, RGBG imager color filter		ISS022-E-066972 (17 Feb. 2010) --- This image is the first taken through a first of its kind ?bay window? on the International Space Station, the seven-windowed Cupola. The image shows the Sahara Desert spread out through the array of windows. The Cupola will house controls for the station robotics and will be a location where crew members can operate the robotic arms and monitor other exterior activities. The location of the image is in Sudan near Al Fashir. Center of the round window is looking at 14.68 degrees north latitude and 26.74 east longitude, recorded with a 12-24mm zoom lens.		CatalogedWithCenterPoint
ISS023	E	  32771	20100505	120228	-12.5	35.5	-11.3	36.7	188	58	MOZAMBIQUE	CUPOLA VIEW, LAKE MALAWI	25	28	SW	305	43	Nikon D3S Electronic Still Camera	4256E: 4256 x 2832 pixel CMOS sensor, 36.0mm x 23.9mm, total pixels: 12.87 million, Nikon FX format				CatalogedWithCenterPoint
ISS023	E	  32770	20100505	120224	-13.0	36.0	-11.5	36.6	188	58	MOZAMBIQUE	CUPOLA VIEW, LAKE MALAWI	25	27	S	306	43	Nikon D3S Electronic Still Camera	4256E: 4256 x 2832 pixel CMOS sensor, 36.0mm x 23.9mm, total pixels: 12.87 million, Nikon FX format				CatalogedWithCenterPoint
ISS023	E	  32769	20100505	120222	-13.0	35.5	-11.6	36.5	188	58	MOZAMBIQUE	CUPOLA VIEW, LAKE MALAWI	25	29	SW	306	43	Nikon D3S Electronic Still Camera	4256E: 4256 x 2832 pixel CMOS sensor, 36.0mm x 23.9mm, total pixels: 12.87 million, Nikon FX format				CatalogedWithCenterPoint
ISS023	E	  32768	20100505	120213	-13.0	35.0	-12.1	36.1	188	58	MOZAMBIQUE	CUPOLA VIEW, LAKE MALAWI	25	24	SW	307	43	Nikon D3S Electronic Still Camera	4256E: 4256 x 2832 pixel CMOS sensor, 36.0mm x 23.9mm, total pixels: 12.87 million, Nikon FX format				CatalogedWithCenterPoint
ISS023	E	  32767	20100505	120209	-13.5	35.0	-12.3	36.0	188	58	MOZAMBIQUE	CUPOLA VIEW, LAKE MALAWI	25	26	SW	307	43	Nikon D3S Electronic Still Camera	4256E: 4256 x 2832 pixel CMOS sensor, 36.0mm x 23.9mm, total pixels: 12.87 million, Nikon FX format				CatalogedWithCenterPoint
ISS023	E	  32766	20100505	120203	-13.5	35.0	-12.6	35.8	188	58	MALAWI	CUPOLA VIEW, LAKE MALAWI	25	21	SW	307	43	Nikon D3S Electronic Still Camera	4256E: 4256 x 2832 pixel CMOS sensor, 36.0mm x 23.9mm, total pixels: 12.87 million, Nikon FX format				CatalogedWithCenterPoint
ISS023	E	  32765	20100505	120155	-14.0	34.5	-13.0	35.5	188	58	MALAWI	CUPOLA VIEW, LAKE MALAWI	10	24	SW	308	43	Nikon D3S Electronic Still Camera	4256E: 4256 x 2832 pixel CMOS sensor, 36.0mm x 23.9mm, total pixels: 12.87 million, Nikon FX format				CatalogedWithCenterPoint
ISS023	E	  32764	20100505	120120	-16.0	33.5	-14.8	34.1	188	58	MOZAMBIQUE	CUPOLA VIEW, L. CAHORA BASSA	10	23	SW	310	43	Nikon D3S Electronic Still Camera	4256E: 4256 x 2832 pixel CMOS sensor, 36.0mm x 23.9mm, total pixels: 12.87 million, Nikon FX format				CatalogedWithCenterPoint
ISS023	E	  32763	20100505	120115	-16.5	33.0	-15.0	33.9	188	58	MOZAMBIQUE	CUPOLA VIEW, L. CAHORA BASSA	25	29	SW	311	43	Nikon D3S Electronic Still Camera	4256E: 4256 x 2832 pixel CMOS sensor, 36.0mm x 23.9mm, total pixels: 12.87 million, Nikon FX format				CatalogedWithCenterPoint
ISS023	E	  32762	20100505	120110	-16.5	33.0	-15.3	33.7	188	58	MOZAMBIQUE	CUPOLA VIEW, L. CAHORA BASSA	10	24	SW	311	43	Nikon D3S Electronic Still Camera	4256E: 4256 x 2832 pixel CMOS sensor, 36.0mm x 23.9mm, total pixels: 12.87 million, Nikon FX format				CatalogedWithCenterPoint
ISS023	E	  32761	20100505	120106	-17.0	33.0	-15.5	33.5	188	58	ZIMBABWE	CUPOLA VIEW, L. CAHORA BASSA	10	27	S	311	43	Nikon D3S Electronic Still Camera	4256E: 4256 x 2832 pixel CMOS sensor, 36.0mm x 23.9mm, total pixels: 12.87 million, Nikon FX format				CatalogedWithCenterPoint
ISS023	E	  32760	20100505	120102	-17.0	32.0	-15.7	33.4	188	58	ZIMBABWE	CUPOLA VIEW, L. CAHORA BASSA	25	31	SW	312	43	Nikon D3S Electronic Still Camera	4256E: 4256 x 2832 pixel CMOS sensor, 36.0mm x 23.9mm, total pixels: 12.87 million, Nikon FX format				CatalogedWithCenterPoint
